StopId,StopAbbr,StopName,Lat,Lon
2,ABAA2,A buffer,62051171,10892966
3,ABAA3,A buffer,62051171,10892966
4,ABAA4,A buffer,62051171,10892966
5,ABAA5,A buffer,62051171,10892966
11,MoeSh401,Moelv Shell,60918249,10704539
21,Kroks401,Kroksjøen,61178395,10718025
24,BØ_LI1,Bø,61035744,10440229
25,RINNVOL2,Rinnvoll,61123816,10240909
26,SAKSUM1,Saksum,61114523,10292641
28,KINDLIE1,Kindlien,61080523,10355929
29,DØSEN1,Døsen,61073577,10369859
30,LANGRUD1,Langrud,61056785,10402705
31,OVRENVN1,Ovrenvegen,61054088,10413587
32,FLØYTA1,Fløyta,61042477,10279492
33,STORLON1,Storlondammen,61030830,10220927
34,VINGROM1,Vingrom,61044550,10430606
35,STUGGUL1,Stuggulykkja,61109431,10340402
36,VINGN_G,Vingnes gård,61105231,10444097
37,ØYRESVI1,Øyresvika,61091345,10432313
38,TRÅST_N2,Tråsethstranda nord,61121622,10418275
39,TRÅST_S1,Tråsethstranda sør,61118375,10425592
40,LEIRVNE1,Leirvika nedre,61109778,10435841
41,KOLBERG3,Kolberg,61125932,10394761
42,BØRKJE1,Børkje,61112062,10421874
43,PÅLSTU_1,Pålstuen,61104062,10405034
44,HEIMT_S3,Heimtun Steinerskolen,61100893,10426413
45,PINNIKV1,Pinnikvegen,61105360,10433474
46,VINGNES2,Vingnes,61106414,10440987
47,LEIRVØV1,Leirvika øvre,61111509,10429944
48,ØYJORDE1,Øyjordet,61101859,10428171
49,BEITEVN1,Beitevegen,61105866,10426281
50,STRAND_S,Strandtorget,61115096,10447379
51,VING_SK1,Vingar skole,61108388,10426244
52,BALBE_L1,Balberglia,61153796,10417093
53,HINN1,Høgskolen i Innlandet Storhove,61149599,10424677
54,SØRSVEV1,Sørsvevegen,61140562,10430757
55,ANLEGGS2,Anleggskrysset Hunderfossen,61223634,10427555
56,DALSVIN2,Dalsvingen,61174739,10396697
57,BRUNL_V2,Brunlaug vest,61165538,10396535
58,FÅBER_M1,Fåberg menighetshus,61168304,10405149
59,BRUSVEA1,Brusvea,61159640,10391918
61,JØR_JOR1,Jørstadmoen skole Jorekstad,61153787,10392200
62,JØRST_L1,Jørstadmoen leir,61147797,10385767
65,FLÅKÅLI2,Flåkålivegen,61167445,10342291
66,FINNERU1,Finnerud,61201114,10327002
67,MÆHL_LH1,Mæhlum,61166615,10379669
68,BRUBA_A1,Brubakken Arlien,61186029,10300786
69,BUVOL_SK,Buvollen skole,61191249,10308691
70,FLÅK_BR1,Flåkåli bru,61164777,10320133
71,LIER,Lier,61157540,10337630
72,LUNDG_K1,Lundgardkrysset,61154376,10359508
73,HÅVARDS1,Håvardslia,61192720,10276500
74,ONSUMKR1,Onsumkrysset,61148646,10357223
75,KASTRUD1,Kastrud,61138506,10383230
