LocId,LocName,Lon,Lat,OnStreet,City,ZipCode
42812,Nav Kongsvinger Arbeid,11997062,60190993,BRUGATA,"KONGSVINGER, KONGSVINGER",2212
42813,Reh. Blåkors Behandlingssenter,10655865,60542066,BLÅKORS,"EINA, VESTRE TOTEN",2843
42815,Øye Goksør Øyelege,11034968,59956562,DEPOTGATA,"LILLESTRØM, SKEDSMO",2000
42816,Kierulfs Dr Nevrologisk,10753606,59930970,CLAUS RIIS GATE,"OSLO, OSLO",457
42818,Tl Verpe Jostein Eidskog Tannklinikk,12121462,59985828,DR. LUNDERBYS VEG,"SKOTTERUD, EIDSKOG",2230
42819,Bu Elkjøp Stormarked Hamar,11050840,60797310,ASLAK BOLTS GATE,"HAMAR, HAMAR",2316
42821,Akt Sira-Huset Psy.dagsenter,11064506,60795836,GRØNNEGATA,"HAMAR, HAMAR",2317
42823,Bu Europris,12238407,61307328,0428/0/0/0,"TRYSIL, TRYSIL",2420
42825,Tl Jørn Bang Larsen,10939663,60881816,NYGATA,"BRUMUNDDAL, RINGSAKER",2380
42826,Tynset Nevrologiske Klinikk,10779877,62275731,PARKVEIEN,"TYNSET, TYNSET",2500
42827,Øre Helsetorget Øre Nese Hals Klinikk,11562689,60885787,TORGGATA,"ELVERUM, ELVERUM",2408
42828,Kir Memira,11078813,60793010,PARKGATA,"HAMAR, HAMAR",2317
42829,Bu Rema 1000 Flisa,12022382,60613497,INDUSTRIVEGEN,"FLISA, ÅSNES",2270
42830,Hår Elfrids Dame-og Herrefrisør,11681233,60252061,ØGARDSVEGEN,"SKARNES, Sør-Odal",2100
42831,Eskoleia As,12017010,60183941,LENSMANN JAHNSENS VEG,"KONGSVINGER, KONGSVINGER",2211
42832,Vikingskipet Hamar Olympiske Anlegg As,11101009,60793037,ÅKERSVIKVEGEN,"HAMAR, HAMAR",2321
42833,Bu Coop Nye Marked Magnor,12200816,59951173,GAUSTADVEGEN,"MAGNOR, EIDSKOG",2240
42834,Hår Salong Hilde,12122238,59983930,SYVERSBAKKEN,"SKOTTERUD, EIDSKOG",2230
42836,Seaside,11072499,60788852,BRYGGA,"HAMAR, HAMAR",2317
42837,Krk Vang Kirke,11134043,60802461,VANGSVEGEN,"RIDABU, HAMAR",2322
42838,Bu Spar Våler,11834818,60670842,Våler sentrum,NULL,2436
42839,Reh Friskvernklinikken,10434811,59827630,LENSMANNSLIA,"ASKER, ASKER",1386
42840,Off Ringsaker Kommune,10940883,60884982,NULL,"BRUMUNDDAL, RINGSAKER",2380
42841,Hår Magnolia Frisersalong,12122290,59985820,SKJØRBERGS VEG,"SKOTTERUD, EIDSKOG",2230
42842,Le Midtbyen Legesenter,11996257,60191891,BRUGATA,"KONGSVINGER, KONGSVINGER",2212
42843,Plo Bøn Sykehjem,11203089,60290539,BØNSBAKKEN,"BØN, EIDSVOLL",2073
42844,Off Stange Rådhus,11190873,60715801,STORGATA,"STANGE, STANGE",2335
42845,Bu Lidl Elverum,11545399,60872601,VESTSIVEGEN,"ELVERUM, ELVERUM",2411
42846,Bu Skeidar Hamar,11107590,60797330,MIDTSTRANDA,"HAMAR, HAMAR",2321
42847,Bu Ullern Gård,11592091,60227539,ULLERN,"SKARNES, SØR-ODAL",2100
42848,Fys Spenst,10677037,60798585,JØRGEN MOES GATE,"GJØVIK, GJØVIK",2819
42849,Bu Rema 1000 Moelv,10701321,60928717,STORGATA,"MOELV, RINGSAKER",2390
42850,Bu Coop Prix Alvdal,10632481,62108786,STEIA,"ALVDAL, ALVDAL",2560
42851,Hot Thon Hotel Gjøvik,10694160,60794430,STRANDGATA,"GJØVIK, GJØVIK",2815
42852,Color Line As,10710586,59906341,FILIPSTADVEIEN,"OSLO, OSLO",250
42853,Le Aleris Medisinske Senter Strømmen,11007331,59947286,STØPERIVEIEN,"STRØMMEN, SKEDSMO",2010
42854,Ba Sparebanken Hedmark Trysil,12264424,61314682,STORVEGEN,"TRYSIL, TRYSIL",2420
42855,Nav Nord -odal,11542538,60392339,SENTRUMSVEGEN,"SAGSTUA, NORD-ODAL",2120
42856,Bu Joker Tolga,10990938,62410950,0436/0/0/0,"TOLGA, TOLGA",2540
